"artist","track","stream"
"A Day To Remember","All Signs Point To Lauderdale","115446943"
"A Day To Remember","Paranoia","92323729"
"A Tribe Called Quest","Can I Kick It?","223623943"
"A Tribe Called Quest","Electric Relaxation","121774534"
"A Tribe Called Quest","Award Tour","77189116"
"A Tribe Called Quest","Check the Rhime","63828868"
"A Tribe Called Quest","Find a Way","55119555"
"A$AP Ferg","Plain Jane","640708592"
"A$AP Ferg","Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)","338639728"
"A$AP Ferg","Plain Jane REMIX (feat. Nicki Minaj)","248818454"
"A$AP Ferg","Shabba (feat. A$AP Rocky)","177090573"
"A$AP Ferg","New Level (feat. Future)","174252080"
"A$AP Rocky","Praise The Lord (Da Shine) (feat. Skepta)","918761583"
"A$AP Rocky","F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","673626519"
"A$AP Rocky","Everyday (feat. Rod Stewart, Miguel & Mark Ronson)","527105680"
"A$AP Rocky","L$D","452518080"
"A$AP Rocky","Sundress","350017984"
"A.R. Rahman","Enna Sona","91092219"
"A.R. Rahman","Rait Zara Si","85746449"
"A.R. Rahman","Param Sundari","78684300"
"A.R. Rahman","Kun Faya Kun","73834235"
"A.R. Rahman","Jashn-E-Bahaaraa","64456952"
"Aaliyah","Are You That Somebody","99704650"
"Aaliyah","Try Again","94600130"
"Aaliyah","At Your Best (You Are Love)","80149721"
"Aaliyah","One In A Million","41845287"
"Aaliyah","Rock The Boat","39067942"
"Aaron Smith","House Party",NULL
"Aaron Smith","Don't You Know - Live Bass Mix",NULL
"Aaron Smith","Dancin (feat. Luvli) - Krono Remix","697005242"
"Aaron Smith","Dancin - Krono Remix","196716732"
"Aaron Smith","Dancin (feat. Luvli) - Danny Avila & Jumpa Remix","3813921"
"ABBA","Dancing Queen","877774503"
"ABBA","Gimme! Gimme! Gimme! (A Man After Midnight)","519184335"
"ABBA","Mamma Mia","375576936"
"ABBA","The Winner Takes It All","295039369"
"ABBA","Lay All Your Love On Me","252601051"
"Abel Pintos","Y, ¿Si Fuera Ella? - + Es +","179230151"
"Abel Pintos","Oncemil","60663359"
"Abel Pintos","Sin Principio Ni Final","59742726"
"Abel Pintos","No Me Olvides","36400240"
"Abel Pintos","Tanto Amor","35535678"
"Abhijeet","Main Koi Aisa Geet Gaoon (From ""Yes Boss"")","25650886"
"Abhijeet","Tumhe Jo Maine Dekha","14876333"
"Abhijeet","Tum Dil Ki Dhadkan Mein (From ""Dhadkan"")","11638340"
"Abhijeet","Waada Raha Sanam (From ""Khiladi"")","11554306"
"Abhijeet","Chunnari Chunnari","9829021"
"AC/DC","Back In Black","1182379398"
"AC/DC","Highway to Hell","1143164505"
"AC/DC","Thunderstruck","1088388556"
"AC/DC","You Shook Me All Night Long","802076123"
"AC/DC","T.N.T.","526521070"
"Academy of St. Martin in the Fields","Symphony No. 25 in G Minor, K. 183: I. Allegro con brio","26979627"
"Academy of St. Martin in the Fields","Il barbiere di Siviglia: Overture (Sinfonia)","12226656"
"Academy of St. Martin in the Fields","Piano Concerto No. 5 in E-Flat Major, Op. 73 ""Emperor"": II. Adagio un poco mosso - Live at Konzerthaus Berlin / 2018","6574020"
"Academy of St. Martin in the Fields","Peer Gynt Suite No.1 op. 46 Anitra's Dance (Tempo di Mazurka)","4831916"
"Academy of St. Martin in the Fields","Solomon HWV 67 / Act 3: The Arrival Of The Queen Of Sheba","4570852"
"accelerate","sure thing (sped up)","23598990"
"accelerate","woo x I was never there (sped up)","7432335"
"accelerate","stargirl interlude (sped up)","6619451"
"accelerate","goverment hooker (sped up) - tiktok version","5259726"
"accelerate","he's mine (sped up) - you may of had him once","3003881"
"Ace of Base","All That She Wants","290903205"
"Ace of Base","The Sign","211846753"
"Ace of Base","Beautiful Life","74995144"
"Ace of Base","Don't Turn Around","29885323"
"Ace of Base","Life Is a Flower","29283361"
"Adam Levine","Lost Stars","312690593"
"Adam Levine","Lifestyle (feat. Adam Levine)","176673668"
"Adam Levine","No One Else Like You","38107491"
"Adam Levine","Good Mood - Original Song From Paw Patrol: The Movie","31530478"
"Adam Levine","Ojalá","28573833"
"Adele","Someone Like You","1468111036"
"Adele","Rolling in the Deep","1303798870"
"Adele","Easy On Me","1198067568"
"Adele","When We Were Young","1019157251"
"Adele","Set Fire to the Rain","925812543"
"Ado","Usseewa","113926600"
"Ado","Odo","94288576"
"Ado","New Genesis","93465443"
"Ado","Backlight","53295724"
"Ado","I’m invincible","51360130"
"Adolescent's Orquesta","Virgen","210905707"
"Adolescent's Orquesta","Persona Ideal - Me Tengo Que Ir","157742522"
"Adolescent's Orquesta","Aquel Lugar","111946448"
"Adolescent's Orquesta","Anhelo","88486734"
"Adolescent's Orquesta","Persona Ideal","70323607"
"Aerosmith","I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack","806239803"
"Aerosmith","Dream On","771341288"
"Aerosmith","Walk This Way","392902327"
"Aerosmith","Sweet Emotion","329839315"
"Aerosmith","Crazy","315532319"
"Afgan","Bawalah Cintaku","37898861"
"Afgan","Jodoh Pasti Bertemu","31630071"
"Afgan","Ku Dengannya Kau Dengan Dia","28937808"
"Afgan","Kamu Yang Kutunggu","27986922"
"Afgan","Bukan Cinta Biasa","23961698"
"Afrojack","Ten Feet Tall","156759906"
"Afrojack","Sad (feat. Afrojack)","103107764"
"Afrojack","Hero","72353933"
"Afrojack","Anywhere With You","44896677"
"Afrojack","Maldito Alcohol (Pitbull vs. Afrojack)","37699582"
"Ahmet Kaya","Kum Gibi","41397974"
"Ahmet Kaya","Nereden Bileceksiniz","37115985"
"Ahmet Kaya","Kendine İyi Bak","33196770"
"Ahmet Kaya","Söyle","31821836"
"Ahmet Kaya","Hani Benim Gençliğim","27632117"
"Aimer","残響散歌","134881461"
"Aimer","カタオモイ","81744053"
"Aimer","Brave Shine","56053428"
"Aimer","おもかげ (produced by Vaundy)","41289011"
"Aimer","Ref:rain","36581307"
"Air Supply","All Out of Love","323326464"
"Air Supply","Making Love Out of Nothing at All","211508025"
"Air Supply","Lost In Love","101163601"
"Air Supply","Even the Nights Are Better","85378359"
"Air Supply","Goodbye","83172376"
"Aitana","Mon Amour - Remix","506493761"
"Aitana","Presiento","227996001"
"Aitana","Vas A Quedarte","138044789"
"Aitana","Formentera","120720746"
"Aitana","Más De Lo Que Aposté","102347451"
"Aitch","Rain","167873528"
"Aitch","Keisha & Becky - Remix","147441519"
"Aitch","Bamba (feat. Aitch & BIA)","87252059"
"Aitch","Baby (feat. Ashanti)","78362701"
"Aitch","UFO","64487788"
"Ajaxx","Freio da Blazer","113221957"
"Ajaxx","Saturno","94950447"
"Ajaxx","Eu Fiz o Jogo Virar","88477931"
"Ajaxx","Metflix","41158633"
"Ajaxx","MINHA CURA","8453894"
"Ajay-Atul","Abhi Mujh Mein Kahin","37218307"
"Ajay-Atul","Chikni Chameli","26872207"
"Ajay-Atul","Sapna Jahan (From ""Brothers"")","22770222"
"Ajay-Atul","Deva Shree Ganesha","18408687"
"Ajay-Atul","Brothers Anthem","16968058"
"AJR","Burn The House Down",NULL
"AJR","Weak","628232520"
"AJR","Bang!","332148266"
"AJR","World's Smallest Violin","200500645"
"AJR","100 Bad Days","199671795"
"Akhil","Duniyaa (From ""Luka Chuppi"")","157346160"
"Akhil","Khaab","79032405"
"Akhil","Kalla Sohna Nai","34928088"
"Akhil","Bachalo","26187628"
"Akhil","Deewana","12478646"
"Akon","Smack That","627376146"
"Akon","Lonely","391691481"
"Akon","I Wanna Love You","348519670"
"Akon","Don't Matter","307868818"
"Akon","Right Now (Na Na Na)","306328301"
"Al Green","Let's Stay Together","415197366"
"Al Green","Tired of Being Alone","144420192"
"Al Green","How Can You Mend a Broken Heart","92182484"
"Al Green","Love and Happiness","80053539"
"Al Green","Take Me to the River","70177689"
"Alabama","Song of the South","136832267"
"Alabama","I'm in a Hurry (And Don't Know Why)","105323169"
"Alabama","Dixieland Delight - Single Edit","66837753"
"Alabama","Mountain Music","66359005"
"Alabama","Dixieland Delight","55708854"
"Alan Gomez","Butakera","57207647"
"Alan Gomez","Matatan","54709706"
"Alan Gomez","CALLEJERO FINO | Mission 10","44548826"
"Alan Gomez","MESITA | Mission 05","40485185"
"Alan Gomez","LA JOAQUI | Mission 08","33315896"
"Alan Jackson","It's Five O'Clock Somewhere (with Jimmy Buffett)","203334276"
"Alan Jackson","Chattahoochee","166829226"
"Alan Jackson","Little Bitty","108939189"
"Alan Jackson","Remember When","104962016"
"Alan Jackson","Drive (For Daddy Gene)","102020883"
"Alan Walker","Faded","1683178074"
"Alan Walker","Alone","609488169"
"Alan Walker","On My Way","529555988"
"Alan Walker","Darkside","502244231"
"Alan Walker","Alone, Pt. II","436607077"
"Alanis Morissette","Ironic - 2015 Remaster","344236239"
"Alanis Morissette","You Oughta Know - 2015 Remaster","180837205"
"Alanis Morissette","Hand in My Pocket - 2015 Remaster","144169652"
"Alanis Morissette","Thank U","87965926"
"Alanis Morissette","Head over Feet - 2015 Remaster","71628265"
"Alceu Valença","Taxi Lunar - Ao Vivo",NULL
"Alceu Valença","Anunciação","85710030"
"Alceu Valença","La Belle De Jour","83098194"
"Alceu Valença","Tropicana (Morena Tropicana)","54154940"
"Alceu Valença","Anunciação - Jopin Remix","22692907"
"Alec Benjamin","Let Me Down Slowly","1215187779"
"Alec Benjamin","Water Fountain","406709080"
"Alec Benjamin","If We Have Each Other","271394891"
"Alec Benjamin","Boy In The Bubble","164805403"
"Alec Benjamin","If I Killed Someone For You","146791543"
"Alejandra Guzman","Mala Hierba",NULL
"Alejandra Guzman","Cuidado Con El Corazon",NULL
"Alejandra Guzman","Mirala Miralo",NULL
"Alejandra Guzman","Hacer El Amor Con Otro","134634501"
"Alejandra Guzman","Eternamente Bella","117561142"
"Alejandro Fernández","Me Dediqué a Perderte","456626889"
"Alejandro Fernández","Sé Que Te Duele","283126164"
"Alejandro Fernández","Me Hace Tanto Bien","187498268"
"Alejandro Fernández","El Ultimo Adiós - Varios Artistas Version","169769959"
"Alejandro Fernández","Caballero","156464615"
"Alejandro Sanz","Corazón partío","347057045"
"Alejandro Sanz","Amiga mía","271777414"
"Alejandro Sanz","Deja Que Te Bese","200161100"
"Alejandro Sanz","El Ultimo Adiós - Varios Artistas Version","169769959"
"Alejandro Sanz","Mi soledad y yo","112854307"
"Aleks Syntek","Duele El Amor","114658059"
"Aleks Syntek","Corazones Invencibles","92037119"
"Aleks Syntek","Sexo Pudor Y Lágrimas","73666671"
"Aleks Syntek","Ay Haiti!","61921081"
"Aleks Syntek","Tu Recuerdo Divino (feat. Los Ángeles Azules) - Versión Bodas","46576819"
"Aleman","Aleman: Bzrp Music Sessions, Vol. 15","154357857"
"Aleman","Rucón","151194171"
"Aleman","Grandes Ligas","96657157"
"Aleman","Tantas Veces","91779317"
"Aleman","Categoría 5","65713263"
"Alessia Cara","How Far I'll Go - Alessia Cara Version",NULL
"Alessia Cara","Scars To Your Beautiful","1162340580"
"Alessia Cara","Stay","1098764242"
"Alessia Cara","Here","525260833"
"Alessia Cara","Wild Things","393933488"
"Alesso","Let Me Go (with Alesso, Florida Georgia Line & watt)","979745544"
"Alesso","Heroes (we could be)","602153066"
"Alesso","Under Control (feat. Hurts)","437416321"
"Alesso","REMEDY","309151426"
"Alesso","If I Lose Myself - Alesso vs OneRepublic","297983302"
"Alex G","Mary","59442658"
"Alex G","Treehouse","59240517"
"Alex G","Advice","46999604"
"Alex G","Sarah","46916616"
"Alex G","16 Mirrors","20616509"
"Alex Ubago","Sin miedo a nada (feat. Amaia Montero)","133899185"
"Alex Ubago","Aunque no te pueda ver","125735400"
"Alex Ubago","A gritos de esperanza","54835563"
"Alex Ubago","Estar contigo","47280638"
"Alex Ubago","Resistiré","42652491"
"Alex Zurdo","Sin Ti","26412168"
"Alex Zurdo","Te Busco","19632193"
"Alex Zurdo","Cambiaste Mi Corazón","19524713"
"Alex Zurdo","A Pesar de Mí (feat. Un Corazón, Abby Valdez, Indiomar)","14006658"
"Alex Zurdo","¿Pa' Qué Preguntan? (Remix)","12072442"
"Alexandre Desplat","The Imitation Game","57771490"
"Alexandre Desplat","Lily's Theme","54074440"
"Alexandre Desplat","Extremely Loud and Incredibly Close","29909265"
"Alexandre Desplat","Statues","29882589"
"Alexandre Desplat","Alan Turing's Legacy","29334794"
"Alexis y Fido","Una En Un Millón","127527824"
"Alexis y Fido","5 Letras","121967980"
"Alexis y Fido","Mala Conducta (feat. Franco El Gorila)","74860357"
"Alexis y Fido","Rompe La Cintura","73233657"
"Alexis y Fido","Soy Igual Que Tú (feat. Toby Love)","62740338"
"Alfonso Herrera","Grita",NULL
"Alfonso Herrera","Corazon De Angel",NULL
"Alfonso Herrera","Por Ti",NULL
"Alfonso Herrera","Qué Mal Amada Estás",NULL
"Alfonso Herrera","De Donde Vienes... A Donde Vas..?",NULL
"Alfredo Olivas","El Paciente","217532564"
"Alfredo Olivas","El Malo De Culiacán","151196613"
"Alfredo Olivas","En Definitiva","149558587"
"Alfredo Olivas","El Precio De La Soledad","79127332"
"Alfredo Olivas","Antecedentes De Culpa","70543497"
"Alice Cooper","Poison","328124343"
"Alice Cooper","School's Out","131957102"
"Alice Cooper","No More Mr. Nice Guy","54140747"
"Alice Cooper","I'm Eighteen","36509800"
"Alice Cooper","Feed My Frankenstein","25501166"
"Alice In Chains","Man in the Box","281425872"
"Alice In Chains","Would? (2022 Remaster)","235889888"
"Alice In Chains","Rooster (2022 Remaster)","164654924"
"Alice In Chains","Nutshell","153621659"
"Alice In Chains","Down In A Hole (2022 Remaster)","111338006"
"Alicia Keys","If I Ain't Got You","776415001"
"Alicia Keys","No One","676843630"
"Alicia Keys","My Boo","544478102"
"Alicia Keys","Girl on Fire","481344405"
"Alicia Keys","Fallin'","365175667"
"Aline Barros","Ressuscita-me","46238724"
"Aline Barros","Sonda-me, Usa-me","37038700"
"Aline Barros","Casa do Pai","25249394"
"Aline Barros","Autor da Vida","22375945"
"Aline Barros","Imensurável","13198584"
"Alka Yagnik","Agar Tum Saath Ho (From ""Tamasha"")","197893502"
"Alka Yagnik","Tip Tip (From ""Sooryavanshi"")","50561603"
"Alka Yagnik","Bole Chudiyan","42519818"
"Alka Yagnik","Kuch Kuch Hota Hai","34017431"
"Alka Yagnik","Ladki Badi Anjani Hai","26340770"
"All Time Low","Dear Maria, Count Me In","417411458"
"All Time Low","Monsters (feat. blackbear)","170406070"
"All Time Low","Weightless","107127673"
"All Time Low","Monsters (feat. Demi Lovato and blackbear)","79846814"
"All Time Low","Remembering Sunday","70723646"
"Allman Brothers Band","Ramblin' Man","198452448"
"Allman Brothers Band","Midnight Rider","191421653"
"Allman Brothers Band","Jessica","67979858"
"Allman Brothers Band","Blue Sky","54529141"
"Allman Brothers Band","Melissa","52867346"
"Almighty","Ojala","56049759"
"Almighty","Crecia","53444579"
"Almighty","Abusadora","42626750"
"Almighty","Vacio","15397608"
"Almighty","¿Pa' Qué Preguntan? (Remix)","12072442"
"Aloe Blacc","The Man","267699729"
"Aloe Blacc","I Need A Dollar","218526292"
"Aloe Blacc","Wake Me Up - Acoustic","95475594"
"Aloe Blacc","Brooklyn In The Summer","60349720"
"Aloe Blacc","Never Be Alone (feat. Aloe Blacc)","47596159"
"Alok","Hear Me Now","637167186"
"Alok","Piece Of Your Heart - Alok Remix","282163847"
"Alok","Don't Say Goodbye (feat. Tove Lo)","201437609"
"Alok","Liberdade (Quando o Grave Bate Forte)","145768648"
"Alok","Deep Down (feat. Never Dull)","119404905"
"Alonzo","TOUT VA BIEN (feat. Ninho & Naps)","92379552"
"Alonzo","La Seleçao","80733667"
"Alonzo","Binta","48323336"
"Alonzo","Santana","45175591"
"Alonzo","TRAFICANTE","32160721"
"Alphaville","Forever Young - 2019 Remaster","414274836"
"Alphaville","Big in Japan - 2019 Remaster","160632804"
"Alphaville","Big in Japan - Single Version; 2019 Remaster","81325428"
"Alphaville","Sounds Like a Melody - 2019 Remaster","38194418"
"Alphaville","Sounds Like a Melody","10613291"
"alt-J","Breezeblocks","671088620"
"alt-J","Left Hand Free","337571286"
"alt-J","Tessellate","149698355"
"alt-J","Fitzpleasure","141758337"
"alt-J","Taro","138928375"
"Amaal Mallik","Soch Na Sake","66110903"
"Amaal Mallik","Chale Aana (From ""De De Pyaar De"")","62435918"
"Amaal Mallik","Main Rahoon Ya Na Rahoon","49852433"
"Amaal Mallik","Bol Do Na Zara","42535252"
"Amaal Mallik","Buddhu Sa Mann","31595533"
"America","A Horse with No Name","503532637"
"America","Ventura Highway","160985238"
"America","Sister Golden Hair","148097616"
"America","You Can Do Magic","47858922"
"America","I Need You","38437029"
"Amit Trivedi","Namo Namo","95856800"
"Amit Trivedi","Iktara","68980616"
"Amit Trivedi","Naina Da Kya Kasoor","56997481"
"Amit Trivedi","Love You Zindagi","38301699"
"Amit Trivedi","Tu Hi Hai","23799252"
"Amitabh Bhattacharya","Kesariya","237685270"
"Amitabh Bhattacharya","Iktara","68980616"
"Amitabh Bhattacharya","Deva Deva","60032339"
"Amitabh Bhattacharya","Dance Ka Bhoot","24708296"
"Amitabh Bhattacharya","Kahani (From ""Laal Singh Chaddha"")","21672529"
"Amy Winehouse","Back To Black","694280349"
"Amy Winehouse","Valerie - Live At BBC Radio 1 Live Lounge, London / 2007","443538897"
"Amy Winehouse","Rehab","414914866"
"Amy Winehouse","You Know I'm No Good","372312004"
"Amy Winehouse","Tears Dry On Their Own","302457737"
"Ana Bárbara","El Ultimo Adiós - Varios Artistas Version","169769959"
"Ana Bárbara","Lo Busqué","115362521"
"Ana Bárbara","Bandido","87715420"
"Ana Bárbara","Que Poca","42516331"
"Ana Bárbara","Solos","38223652"
"Ana Castela","Pipoco","145619268"
"Ana Castela","Bombonzinho - Ao Vivo","101263892"
"Ana Castela","Roça Em Mim","59858085"
"Ana Castela","Juliet E Chapelão (Ao Vivo)","37048885"
"Ana Castela","Ô Lá na Roça - Ao Vivo","27677492"
"Ana Gabriel","El Ultimo Adiós - Varios Artistas Version","169769959"
"Ana Gabriel","Simplemente Amigos","149593093"
"Ana Gabriel","Quién Como Tú","143415947"
"Ana Gabriel","¡Ay Amor!","80996175"
"Ana Gabriel","Cosas del Amor (with Vikki Carr)","55087974"
"Ana Mena","Una volta ancora (feat. Ana Mena)","153695658"
"Ana Mena","Se iluminaba","119750160"
"Ana Mena","A Un Paso De La Luna","113157799"
"Ana Mena","A Un Paso De La Luna - Remix","74252208"
"Ana Mena","LAS 12","64609828"
"Anahí","Sálvame","156878055"
"Anahí","Sólo Quédate En Silencio","88563370"
"Anahí","Este Corazón","69778344"
"Anahí","Tras De Mí","55416538"
"Anahí","Ser O Parecer","47353906"
"Ananya Bhat","Mehabooba","23763276"
"Ananya Bhat","Singara Siriye","17640974"
"Ananya Bhat","Mehabooba (From ""Kgf Chapter 2"")","17024883"
"Ananya Bhat","Sultan","12445689"
"Ananya Bhat","Mehabooba","7865411"
"Anderson .Paak","Leave The Door Open","1006100004"
"Anderson .Paak","Smokin Out The Window","331055439"
"Anderson .Paak","Skate","179194223"
"Anderson .Paak","Come Down","151564863"
"Anderson .Paak","After Last Night (with Thundercat & Bootsy Collins)","94044201"
"Andrea Bocelli","Vivo Por Ella (Vivo Per Lei) - Italian - Spanish Version With Marta Sanchez",NULL
"Andrea Bocelli","Perfect Symphony (Ed Sheeran & Andrea Bocelli)","160120770"
"Andrea Bocelli","Time To Say Goodbye","127477595"
"Andrea Bocelli","Con te partirò","114681266"
"Andrea Bocelli","Vivo per lei","102983829"
"Andrés Calamaro","Cuando No Estás",NULL
"Andrés Calamaro","Flaca","306003111"
"Andrés Calamaro","Aunque no sea conmigo","139132047"
"Andrés Calamaro","Te quiero igual","81472991"
"Andrés Calamaro","La parte de adelante","67205627"
"Andrés Cepeda","Magia (feat. Sebastián Yatra)","69054824"
"Andrés Cepeda","Déjame Ir","58447037"
"Andrés Cepeda","Lo Mejor Que Hay en Mi Vida","33093356"
"Andrés Cepeda","Besos Usados","30630918"
"Andrés Cepeda","Día Tras Día","25252345"
"Andy Grammer","Fresh Eyes","436019602"
"Andy Grammer","Don't Give Up On Me - (From ""Five Feet Apart"")","422478408"
"Andy Grammer","Honey, I'm Good.","347076955"
"Andy Grammer","Keep Your Head Up","210525989"
"Andy Grammer","Fine By Me","101638175"
"Andy Williams","It's the Most Wonderful Time of the Year","661839225"
"Andy Williams","Happy Holiday / The Holiday Season","87187126"
"Andy Williams","Moon River (From ""Breakfast at Tiffany's"")","80939450"
"Andy Williams","Can't Take My Eyes Off You","58728510"
"Andy Williams","Sleigh Ride","56794506"
"Angel Y Khriz","Como Olvidarte",NULL
"Angel Y Khriz","Ven Bailalo - Reggaeton Mix","251857025"
"Angel Y Khriz","Na De Na","215280183"
"Angel Y Khriz","Me Enamoré","24371320"
"Angel Y Khriz","Me Enamore (Remix) [feat. Elvis Crespo & Tito el Bambino]","20698204"
"Ángela Aguilar","Dime Cómo Quieres","198065883"
"Ángela Aguilar","Qué Agonía","98582948"
"Ángela Aguilar","Tu Sangre en Mi Cuerpo","62021525"
"Ángela Aguilar","La Llorona","54658192"
"Ángela Aguilar","Lo Busqué","42570338"
"Angèle","Fever","301832615"
"Angèle","Balance ton quoi","147602964"
"Angèle","Tout oublier","116973436"
"Angèle","Oui ou non","80617404"
"Angèle","Ta reine","74378431"
"Angus & Julia Stone","Big Jet Plane","289764225"
"Angus & Julia Stone","Stay With Me - Live From Spotify Berlin","251326658"
"Angus & Julia Stone","Chateau","188969786"
"Angus & Julia Stone","Paper Aeroplane","63133690"
"Angus & Julia Stone","Grizzly Bear","60585078"
"Anirudh Ravichander","Arabic Kuthu - Halamithi Habibo (From ""Beast"")","122505117"
"Anirudh Ravichander","Dippam Dappam (From ""Kaathuvaakula Rendu Kaadhal"")","62181109"
"Anirudh Ravichander","Megham Karukatha","61474197"
"Anirudh Ravichander","Thenmozhi (From ""Thiruchitrambalam"")","55429185"
"Anirudh Ravichander","Vikram - Title Track","54217671"
"Anitta","Downtown","558939220"
"Anitta","Envolver","478614170"
"Anitta","La Loto","94362079"
"Anitta","DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix","64963004"
"Anitta","Envolver Remix","62023519"
"Ankit Tiwari","Valentine's Mashup 2019","55399812"
"Ankit Tiwari","Galliyan Returns","50934769"
"Ankit Tiwari","Sunn Raha Hai","45784928"
"Ankit Tiwari","Galliyan (From ""Ek Villain"")","43683565"
"Ankit Tiwari","Romantic Mashup 2","35712881"
"Anne-Marie","FRIENDS","1274551265"
"Anne-Marie","2002","1270986108"
"Anne-Marie","Rewrite The Stars (with James Arthur & Anne-Marie)","522396840"
"Anne-Marie","fuck, i'm lonely","455322239"
"Anne-Marie","Ciao Adios","287447865"
"Annie Lennox","Sweet Dreams (Are Made of This) - Remastered","989478518"
"Annie Lennox","Walking on Broken Glass","145102289"
